id,title
0,Michael LeDuc SR | Bib: 575 Conn College
58,Andrew Shapero SR | Bib: 778 Tufts
59,Nick Hall JR | Bib: 574 Colorado College
60,Ryan Moynihan JR | Bib: 614 Geneseo St.
61,Paul Lewis SR | Bib: 485 Albion
62,Sean Kutz SR | Bib: 849 Wis.-Oshkosh
63,Hart Hornor SO | Bib: 535 Carleton
64,Calvin Lehn SO | Bib: 761 St. Olaf
65,Charles Pfander SO | Bib: 623 Hamilton
66,Bryan Hayes SO | Bib: 646 La Verne
67,David Dixon SR | Bib: 541 Case Western
68,Chansler Poole SR | Bib: 767 St. Vincent-PA
69,Chris Lee SR | Bib: 820 Williams
70,Joel Walden JR | Bib: 854 Wis.-Platteville
71,Julian Saliani SR | Bib: 642 Johns Hopkins
72,Pat Fannon SR | Bib: 578 Cortland St.
73,John Kieffer SR | Bib: 552 Centre
74,Phillip Meyer JR | Bib: 763 St. Olaf
75,Nick Petersson SO | Bib: 828 Wis.-Eau Claire
76,Hunter Smith JR | Bib: 590 Dickinson
77,Matt Deyo FR | Bib: 690 MIT
78,Tom Linner SO | Bib: 838 Wis.-La Crosse
79,Sam Whan SO | Bib: 655 Loras
80,Dalton Boyer JR | Bib: 791 Wabash
81,John Fowler SO | Bib: 728 Pomona-Pitzer
82,Charlie Marquardt SO | Bib: 631 Haverford
83,Logan Steiner SO | Bib: 494 Allegheny
84,Greg Clark SR | Bib: 586 Dickinson
85,Todd Ford SO | Bib: 816 Williams
86,Drew Jackson JR | Bib: 547 Central College
87,Benjamin Girodias JR | Bib: 729 Pomona-Pitzer
88,Marcus Huderle SR | Bib: 536 Carleton
89,Steve Loran JR | Bib: 650 Loras
90,Aldis Inde JR | Bib: 818 Williams
91,McKena Ramos FR | Bib: 851 Wis.-Oshkosh
92,Johnny Rutford SR | Bib: 701 Neb. Wesleyan
93,Alex Rigdon SR | Bib: 666 Luther
94,James Waterman SR | Bib: 811 Wheaton (Ill.)
95,Silas Eastman FR | Bib: 568 Colby
96,Dharan Kadiyala JR | Bib: 717 NYU
97,John Stansel JR | Bib: 506 Bates
98,Brendan Wortner SO | Bib: 616 Geneseo St.
99,Tim Nichols FR | Bib: 774 Tufts
100,Keaton Wendroth JR | Bib: 766 St. Thomas-MN
101,Elliot Petterson SR | Bib: 808 Wash U
102,Arleigh McRae SR | Bib: 618 Grove City
103,Charlie Coffman JR | Bib: 567 Colby
104,Jarred Iacovelli JR | Bib: 579 Cortland St.
105,Derek Johnsrud SR | Bib: 848 Wis.-Oshkosh
106,Austin Stecklair JR | Bib: 644 Johns Hopkins
107,Jordan Carpenter SO | Bib: 843 Wis.-Oshkosh
108,Nate Sans SR | Bib: 685 Middlebury
109,David Chelimo FR | Bib: 566 Colby
110,Geno Arthur SO | Bib: 722 Oberlin
111,Sebastian Matt SO | Bib: 684 Middlebury
112,Cole Townsend JR | Bib: 822 Williams
113,Casey Austin SR | Bib: 577 Cortland St.
114,Alex Strenta SR | Bib: 594 Dickinson
115,Sebastian Oja JR | Bib: 720 NYU
116,Jared Burris JR | Bib: 792 Wabash
117,Stefan Arnold FR | Bib: 636 Johns Hopkins
118,Tyler Scheibenpflug JR | Bib: 668 Lyndon State
119,Jacob Hoerger SR | Bib: 534 Carleton
120,Kenny Halloran JR | Bib: 846 Wis.-Oshkosh
121,Dillon Davis SR | Bib: 759 St. Olaf
122,Mark Weinhoffer JR | Bib: 595 Dickinson
123,Colin Rogers SR | Bib: 624 Hamline
124,Wilder Schaaf SR | Bib: 686 Middlebury
125,Gary Ezzo SR | Bib: 563 Coast Guard
126,Erik Hofferber JR | Bib: 847 Wis.-Oshkosh
127,Josh Ferguson JR | Bib: 520 Calvin
128,Eddie Mulder SR | Bib: 604 Emory
129,Sam Poser JR | Bib: 853 Wis.-Platteville
130,Liam Cassidy JR | Bib: 770 Tufts
131,Matt Wenaas SR | Bib: 832 Wis.-Eau Claire
132,Yuji Wakimoto SR | Bib: 743 Rochester
133,Jon Caffarellli SR | Bib: 671 Manchester
134,Jonah Barry SO | Bib: 530 Carleton
135,Zac Nowicki FR | Bib: 526 Calvin
136,Fabian House FR | Bib: 793 Wabash
137,Jeff Hale JR | Bib: 572 Colby
138,Joshua Urso SO | Bib: 723 Oberlin
139,Daniel Fritz SR | Bib: 562 Clarkson
140,Brett Baker JR | Bib: 801 Wash U
141,James Rynes JR | Bib: 492 Allegheny
142,Curtis Nordman SR | Bib: 676 Manchester
143,Tyler Robinson SR | Bib: 561 C-M-S
144,Thomas Caulfield FR | Bib: 747 St. Lawrence
145,Matt Scott SR | Bib: 831 Wis.-Eau Claire
146,Jonathan Briskman SR | Bib: 555 C-M-S
147,Sean Fischer JR | Bib: 609 Geneseo St.
148,Spencer Patterson SO | Bib: 752 St. Lawrence
149,Rory Beyer FR | Bib: 688 MIT
150,Brendan Courneene SR | Bib: 748 St. Lawrence
151,Nathan Rosenbaum JR | Bib: 726 Ohio Northern
152,Nicholas Guarnaccia SO | Bib: 771 Tufts
153,Joel Christian JR | Bib: 626 Haverford
154,Noah Graboys SR | Bib: 499 Bates
155,Michael Frasco SO | Bib: 782 U. of Chicago
156,Luke O'Connor FR | Bib: 776 Tufts
157,Corey Purcella SO | Bib: 735 Pomona-Pitzer
158,Schaffer Ochstein SO | Bib: 639 Johns Hopkins
159,Aron Sebhat SO | Bib: 710 North Central
160,Phil Spitzer SR | Bib: 528 Calvin
161,Billy McManus JR | Bib: 797 Wabash
162,Garrett Kerska JR | Bib: 836 Wis.-La Crosse
163,Tyler Shipley SO | Bib: 727 Pacific (Ore.)
164,Michael Cahill SR | Bib: 768 Stevens Inst.
165,Paul Hetke SR | Bib: 824 Wis.-Eau Claire
166,John Sevcik SO | Bib: 651 Loras
167,Sam Fujimori SO | Bib: 628 Haverford
168,Adam Pacheck SR | Bib: 742 Rochester
169,Tim Miller JR | Bib: 516 Bridgewater
170,Jeff Meitler SO | Bib: 525 Calvin
171,Ryan Sheeran JR | Bib: 652 Loras
172,David Cason SR | Bib: 619 Guilford
173,Joey Steadman FR | Bib: 591 Dickinson
174,Dan Crowley SO | Bib: 496 Amherst
175,Sam Pitcavage JR | Bib: 560 C-M-S
176,Keith Thomas JR | Bib: 519 Bridgewater
177,Jamie Vander Veer SO | Bib: 551 Central College
178,Samuel Butler SR | Bib: 781 U. of Chicago
179,Paul Juelis SO | Bib: 739 Ramapo
180,Erik Rosvold JR | Bib: 829 Wis.-Eau Claire
181,Ryan Taylor SR | Bib: 744 Shenandoah
182,Scott Oseguera FR | Bib: 740 Redlands
183,Ryan Senci JR | Bib: 809 Wash U
184,Ben Dickshinski JR | Bib: 704 North Central
185,Steven Haagsma JR | Bib: 521 Calvin
186,Trevor Bibb JR | Bib: 746 St. Lawrence
187,Steven Ory SO | Bib: 734 Pomona-Pitzer
188,Peter Drews SR | Bib: 814 Williams
189,Joe Haase SO | Bib: 533 Carleton
190,Isaac Jensen FR | Bib: 660 Luther
191,Luke Sohl JR | Bib: 518 Bridgewater
192,Chris Lafree SR | Bib: 675 Manchester
193,Alex Fleischhacker SR | Bib: 600 Emory
194,Matt Scherber SR | Bib: 745 St. John's-MN
195,Allen Leung JR | Bib: 693 MIT
196,Ben Wallis SR | Bib: 779 Tufts
197,Alexander Johann SR | Bib: 732 Pomona-Pitzer
198,Scott Mittman SR | Bib: 664 Luther
199,Gareth Jones FR | Bib: 783 U. of Chicago
200,Colin Briskman SR | Bib: 554 C-M-S
201,Evan Neubauer SR | Bib: 665 Luther
202,Pryor Stroud JR | Bib: 736 Pomona-Pitzer
203,Adam Togami SO | Bib: 799 Wabash
204,Sam Craft SR | Bib: 680 Middlebury
205,Mike McConville SO | Bib: 769 Swarthmore
206,Alex Simon JR | Bib: 493 Allegheny
207,Gregg Heller SO | Bib: 501 Bates
208,Robert Sansevere SR | Bib: 588 Dickinson
209,Jamie Norton SR | Bib: 775 Tufts
210,Ryan Alvarez SR | Bib: 635 Johns Hopkins
211,Matt Byrnes JR | Bib: 608 Geneseo St.
212,Rob Howe JR | Bib: 649 Loras
213,Andrew Ceruzzi JR | Bib: 637 Johns Hopkins
214,Jacob Higle-Ralbovsky SO | Bib: 556 C-M-S
215,Camden Black-Ingersoll JR | Bib: 497 Bates
216,Ryne Scopp JR | Bib: 852 Wis.-Oshkosh
217,Buddy Gates FR | Bib: 712 NYU
218,Matt Denlinger SO | Bib: 511 Bridgewater
219,Sam Kerk SR | Bib: 523 Calvin
220,Evan Quinones FR | Bib: 564 Cobleskill
221,Isaac Steffensmeier FR | Bib: 550 Central College
222,Alex Noel SO | Bib: 741 Rhodes
223,Michael Stocker SR | Bib: 677 Manchester
224,Joe Ray SO | Bib: 583 Cortland St.
225,Mason McKinney FR | Bib: 796 Wabash
226,Renat Zalov JR | Bib: 789 U. of Chicago
227,Evan Molineux SO | Bib: 559 C-M-S
228,Jessop Keene SR | Bib: 856 Wis.-Stout
229,John Denison SR | Bib: 490 Allegheny
230,Wesley Kirui SO | Bib: 751 St. Lawrence
231,Ryan Gilmore SR | Bib: 713 NYU
232,Alex Wilson SO | Bib: 700 Mount Union
233,Kyle Powers SR | Bib: 667 Lyndon State
234,Jimmy Gorman FR | Bib: 629 Haverford
235,Nick Boyce JR | Bib: 790 Wabash
236,Kevin On JR | Bib: 785 U. of Chicago
237,Luke Carpinello SO | Bib: 679 Middlebury
238,Ty Wittman JR | Bib: 656 Loras
239,Adam Hathaway FR | Bib: 731 Pomona-Pitzer
240,Tyler Cooke JR | Bib: 598 Emory
241,Forest Tarbath SO | Bib: 787 U. of Chicago
242,Guthrie Cunningham SR | Bib: 532 Carleton
243,John Lake JR | Bib: 719 NYU
244,Tim Lee SR | Bib: 581 Cortland St.
245,Jacob Kuyvenhoven JR | Bib: 524 Calvin
246,Brent Ewing SR | Bib: 544 Central College
247,Alex Gudeman FR | Bib: 672 Manchester
248,Ian Tolan SO | Bib: 695 MIT
249,Landen Elliott-Knaggs SR | Bib: 749 St. Lawrence
250,Troy Jackson SR | Bib: 514 Bridgewater
251,Patrick Crews JR | Bib: 599 Emory
252,Corey Birchmeier JR | Bib: 669 Manchester
253,Will McCarthy JR | Bib: 573 Colby
254,Matt Jorgensen FR | Bib: 610 Geneseo St.
255,Clayton Harlan SR | Bib: 673 Manchester
256,Joe Doyle FR | Bib: 498 Bates
257,Thomas DeAscentis SR | Bib: 489 Allegheny
258,Griffin Gagnon FR | Bib: 570 Colby
259,Abe Rittenhouse SR | Bib: 517 Bridgewater
260,Dylan Verner-Crist SO | Bib: 634 Haverford
261,Ryan Widzgowski SR | Bib: 645 Keene State
262,Chris Greenlee SR | Bib: 571 Colby
263,Mark Chapman SR | Bib: 647 Loras
264,Dan Cheung FR | Bib: 487 Allegheny
265,Brock Laue SR | Bib: 662 Luther
266,Austin Hunt FR | Bib: 601 Emory
267,Scott Smolensky JR | Bib: 754 St. Lawrence
268,Wyatt Campbell FR | Bib: 510 Bridgewater
269,Alex Kramer FR | Bib: 611 Geneseo St.
270,Hank Ashforth SR | Bib: 597 Emory
271,Noah Laack-Veeder JR | Bib: 537 Carleton
272,Michael Sisario FR | Bib: 605 Emory
273,Benji Xie JR | Bib: 697 MIT
274,Justin Bullock SR | Bib: 689 MIT
